"geo_type";"geo_area_id";"geo_area_name";"borough_id";"time_period";"BLL_greater_5";"BLL_greater_5_note";"BLL_greater_10";"BLL_greater_10_note";"BLL_greater_15";"BLL_greater_15_note";"num_tested";"rate_greater_5";"rate_greater_10";"rate_greater_15"
"Neighborhood (UHF 42)";"305";"Upper East Side";"3";"2005";"256";"0";"8";"1";"5";"1";"4800";"53.4";"1.7";"1"
"Neighborhood (UHF 42)";"303";"East Harlem";"3";"2014";"66";"0";"7";"1";"4";"1";"3800";"17.5";"1.9";"1.1"
"Neighborhood (UHF 42)";"405";"Ridgewood - Forest Hills";"4";"2007";"652";"0";"47";"0";"21";"0";"8100";"80.4";"5.8";"2.6"
"Neighborhood (UHF 42)";"209";"Bensonhurst - Bay Ridge";"2";"2009";"281";"0";"34";"0";"19";"0";"6600";"42.3";"5.1";"2.9"
"Neighborhood (UHF 42)";"206";"Borough Park";"2";"2007";"1566";"0";"138";"0";"57";"0";"12000";"130.2";"11.5";"4.7"
"Neighborhood (UHF 42)";"402";"West Queens";"4";"2014";"473";"0";"74";"0";"17";"0";"22400";"21.1";"3.3";"0.8"
"Neighborhood (UHF 42)";"204";"East New York";"2";"2008";"742";"0";"68";"0";"24";"0";"10800";"68.5";"6.3";"2.2"
"Neighborhood (UHF 42)";"407";"Southwest Queens";"4";"2005";"1213";"0";"123";"0";"39";"0";"10400";"116.9";"11.9";"3.8"
"Neighborhood (UHF 42)";"404";"Bayside - Little Neck";"4";"2011";"29";"0";"3";"1";"1";"1";"2200";"13.2";"1.4";"0.5"
"Neighborhood (UHF 42)";"305";"Upper East Side";"3";"2007";"243";"0";"13";"0";"2";"1";"4800";"50.6";"2.7";"0.4"
"Neighborhood (UHF 42)";"204";"East New York";"2";"2011";"426";"0";"49";"0";"15";"0";"11200";"38.2";"4.4";"1.3"
"Neighborhood (UHF 42)";"211";"Williamsburg - Bushwick";"2";"2007";"1432";"0";"112";"0";"41";"0";"11400";"125.8";"9.8";"3.6"
"Neighborhood (UHF 42)";"104";"Pelham - Throgs Neck";"1";"2013";"201";"0";"31";"0";"11";"1";"11700";"17.2";"2.6";"0.9"
"Neighborhood (UHF 42)";"310";"Lower Manhattan";"3";"2013";"11";"0";"3";"1";"2";"1";"1600";"6.9";"1.9";"1.2"
"Neighborhood (UHF 42)";"103";"Fordham - Bronx Pk";"1";"2013";"309";"0";"57";"0";"23";"0";"12800";"24.2";"4.5";"1.8"
"Neighborhood (UHF 42)";"502";"Stapleton - St. George";"5";"2016";"80";"0";"15";"0";"6";"1";"4200";"19";"3.6";"1.4"
"Neighborhood (UHF 42)";"305";"Upper East Side";"3";"2012";"51";"0";"4";"1";"3";"1";"4800";"10.7";"0.8";"0.6"
"Neighborhood (UHF 42)";"105";"Crotona -Tremont";"1";"2005";"1534";"0";"136";"0";"37";"0";"11300";"135.5";"12";"3.3"
"Neighborhood (UHF 42)";"502";"Stapleton - St. George";"5";"2006";"405";"0";"47";"0";"19";"0";"4700";"85.8";"10";"4"
"Neighborhood (UHF 42)";"206";"Borough Park";"2";"2012";"887";"0";"102";"0";"33";"0";"16900";"52.6";"6";"2"
"Neighborhood (UHF 42)";"107";"Hunts Point - Mott Haven";"1";"2011";"227";"0";"25";"0";"11";"1";"8500";"26.6";"2.9";"1.3"
"Neighborhood (UHF 42)";"401";"Long Island City - Astoria";"4";"2012";"162";"0";"18";"0";"7";"1";"6900";"23.4";"2.6";"1"
"Neighborhood (UHF 42)";"103";"Fordham - Bronx Pk";"1";"2015";"217";"0";"31";"0";"15";"0";"12400";"17.4";"2.5";"1.2"
"Neighborhood (UHF 42)";"101";"Kingsbridge - Riverdale";"1";"2008";"147";"0";"3";"1";"1";"1";"3200";"45.7";"0.9";"0.3"
"Neighborhood (UHF 42)";"503";"Willowbrook";"5";"2008";"55";"0";"1";"1";"1";"1";"2600";"20.9";"0.4";"0.4"
"Neighborhood (UHF 42)";"305";"Upper East Side";"3";"2011";"65";"0";"11";"1";"5";"1";"5000";"13.1";"2.2";"1"
"Neighborhood (UHF 42)";"103";"Fordham - Bronx Pk";"1";"2007";"1288";"0";"90";"0";"29";"0";"13300";"97";"6.8";"2.2"
"Neighborhood (UHF 42)";"107";"Hunts Point - Mott Haven";"1";"2005";"1085";"0";"56";"0";"16";"0";"7500";"144.5";"7.5";"2.1"
"Neighborhood (UHF 42)";"404";"Bayside - Little Neck";"4";"2010";"52";"0";"4";"1";"1";"1";"2200";"24";"1.8";"0.5"
"Neighborhood (UHF 42)";"208";"Canarsie - Flatlands";"2";"2010";"262";"0";"25";"0";"5";"1";"8000";"32.8";"3.1";"0.6"
"Neighborhood (UHF 42)";"404";"Bayside - Little Neck";"4";"2013";"13";"0";"1";"1";"0";"1";"2200";"5.9";"0.5";"0"
"Neighborhood (UHF 42)";"502";"Stapleton - St. George";"5";"2007";"414";"0";"40";"0";"14";"0";"5000";"82.9";"8";"2.8"
"Neighborhood (UHF 42)";"105";"Crotona -Tremont";"1";"2012";"260";"0";"29";"0";"15";"0";"11400";"22.8";"2.5";"1.3"
"Neighborhood (UHF 42)";"410";"Rockaways";"4";"2011";"128";"0";"13";"0";"6";"1";"5400";"23.7";"2.4";"1.1"
"Neighborhood (UHF 42)";"209";"Bensonhurst - Bay Ridge";"2";"2006";"530";"0";"42";"0";"12";"0";"6200";"85.2";"6.8";"1.9"
"Neighborhood (UHF 42)";"401";"Long Island City - Astoria";"4";"2007";"628";"0";"47";"0";"19";"0";"7000";"89.9";"6.7";"2.7"
"Neighborhood (UHF 42)";"107";"Hunts Point - Mott Haven";"1";"2012";"148";"0";"17";"0";"4";"1";"8200";"18";"2.1";"0.5"
"Neighborhood (UHF 42)";"304";"Upper West Side";"3";"2009";"180";"0";"13";"0";"3";"1";"5500";"32.9";"2.4";"0.5"
"Neighborhood (UHF 42)";"403";"Flushing - Clearview";"4";"2010";"241";"0";"23";"0";"7";"1";"8400";"28.7";"2.7";"0.8"
"Neighborhood (UHF 42)";"402";"West Queens";"4";"2012";"529";"0";"93";"0";"40";"0";"23400";"22.6";"4";"1.7"
"Neighborhood (UHF 42)";"307";"Gramercy Park - Murray Hill";"3";"2005";"153";"0";"12";"0";"1";"1";"1800";"85.7";"6.7";"0.6"
"Neighborhood (UHF 42)";"402";"West Queens";"4";"2010";"994";"0";"151";"0";"67";"0";"23200";"42.8";"6.5";"2.9"
"Neighborhood (UHF 42)";"201";"Greenpoint";"2";"2016";"216";"0";"29";"0";"8";"1";"4200";"51.9";"7";"1.9"
"Neighborhood (UHF 42)";"104";"Pelham - Throgs Neck";"1";"2006";"1251";"0";"62";"0";"16";"0";"11600";"108.2";"5.4";"1.4"
"Neighborhood (UHF 42)";"301";"Washington Heights";"3";"2009";"342";"0";"38";"0";"15";"0";"10900";"31.5";"3.5";"1.4"
"Neighborhood (UHF 42)";"106";"High Bridge - Morrisania";"1";"2009";"502";"0";"52";"0";"19";"0";"12400";"40.6";"4.2";"1.5"
"Neighborhood (UHF 42)";"501";"Port Richmond";"5";"2016";"65";"0";"10";"1";"2";"1";"2900";"22.6";"3.5";"0.7"
"Neighborhood (UHF 42)";"403";"Flushing - Clearview";"4";"2007";"424";"0";"21";"0";"8";"1";"7400";"57.6";"2.9";"1.1"
"Neighborhood (UHF 42)";"503";"Willowbrook";"5";"2009";"65";"0";"11";"1";"3";"1";"2600";"25.1";"4.3";"1.2"
"Neighborhood (UHF 42)";"101";"Kingsbridge - Riverdale";"1";"2009";"85";"0";"7";"1";"1";"1";"3300";"25.5";"2.1";"0.3"
"Neighborhood (UHF 42)";"107";"Hunts Point - Mott Haven";"1";"2016";"81";"0";"17";"0";"9";"1";"6700";"12.1";"2.5";"1.3"
"Neighborhood (UHF 42)";"107";"Hunts Point - Mott Haven";"1";"2013";"155";"0";"19";"0";"5";"1";"7700";"20.1";"2.5";"0.6"
"Citywide";"1";"New York City";"";"2010";"13951";"0";"1574";"0";"566";"0";"340900";"40.9";"4.6";"1.7"
"Neighborhood (UHF 42)";"309";"Union Square - Lower East Side";"3";"2011";"129";"0";"5";"1";"0";"1";"4900";"26.1";"1";"0"
"Neighborhood (UHF 42)";"103";"Fordham - Bronx Pk";"1";"2005";"1697";"0";"132";"0";"36";"0";"13000";"130.5";"10.1";"2.8"
"Neighborhood (UHF 42)";"308";"Greenwich Village - SoHo";"3";"2014";"37";"0";"7";"1";"1";"1";"1300";"28.1";"5.3";"0.8"
"Neighborhood (UHF 42)";"104";"Pelham - Throgs Neck";"1";"2016";"188";"0";"26";"0";"7";"1";"11100";"16.9";"2.3";"0.6"
"Neighborhood (UHF 42)";"302";"Central Harlem - Morningside Heights";"3";"2013";"121";"0";"9";"1";"2";"1";"5900";"20.4";"1.5";"0.3"
"Neighborhood (UHF 42)";"504";"South Beach - Tottenville";"5";"2007";"187";"0";"12";"0";"3";"1";"5300";"35.2";"2.3";"0.6"
"Neighborhood (UHF 42)";"104";"Pelham - Throgs Neck";"1";"2007";"992";"0";"73";"0";"25";"0";"11700";"84.6";"6.2";"2.1"
"Citywide";"1";"New York City";"";"2009";"15224";"0";"1565";"0";"565";"0";"331800";"45.9";"4.7";"1.7"
"Neighborhood (UHF 42)";"208";"Canarsie - Flatlands";"2";"2005";"701";"0";"46";"0";"17";"0";"7400";"94.9";"6.2";"2.3"
"Neighborhood (UHF 42)";"309";"Union Square - Lower East Side";"3";"2006";"550";"0";"23";"0";"9";"1";"5000";"110.6";"4.6";"1.8"
"Neighborhood (UHF 42)";"307";"Gramercy Park - Murray Hill";"3";"2006";"154";"0";"10";"1";"4";"1";"2000";"78.9";"5.1";"2.1"
"Neighborhood (UHF 42)";"205";"Sunset Park";"2";"2013";"183";"0";"20";"0";"7";"1";"9000";"20.3";"2.2";"0.8"
"Neighborhood (UHF 42)";"308";"Greenwich Village - SoHo";"3";"2006";"190";"0";"7";"1";"2";"1";"1500";"129.9";"4.8";"1.4"
"Neighborhood (UHF 42)";"101";"Kingsbridge - Riverdale";"1";"2007";"243";"0";"13";"0";"4";"1";"3200";"76.6";"4.1";"1.3"
"Neighborhood (UHF 42)";"202";"Downtown - Heights - Slope";"2";"2006";"770";"0";"74";"0";"25";"0";"6600";"117.2";"11.3";"3.8"
"Neighborhood (UHF 42)";"402";"West Queens";"4";"2011";"764";"0";"118";"0";"44";"0";"23400";"32.6";"5";"1.9"
"Neighborhood (UHF 42)";"503";"Willowbrook";"5";"2007";"88";"0";"4";"1";"1";"1";"2600";"33.5";"1.5";"0.4"
"Neighborhood (UHF 42)";"406";"Fresh Meadows";"4";"2006";"218";"0";"15";"0";"4";"1";"3400";"63.4";"4.4";"1.2"
"Neighborhood (UHF 42)";"210";"Coney Island - Sheepshead Bay";"2";"2014";"262";"0";"42";"0";"19";"0";"10600";"24.6";"3.9";"1.8"
"Neighborhood (UHF 42)";"407";"Southwest Queens";"4";"2016";"216";"0";"41";"0";"17";"0";"11000";"19.7";"3.7";"1.5"
"Neighborhood (UHF 42)";"402";"West Queens";"4";"2008";"1448";"0";"152";"0";"53";"0";"23100";"62.6";"6.6";"2.3"
"Neighborhood (UHF 42)";"305";"Upper East Side";"3";"2016";"14";"0";"0";"1";"0";"1";"3900";"3.6";"0";"0"
"Neighborhood (UHF 42)";"210";"Coney Island - Sheepshead Bay";"2";"2008";"597";"0";"66";"0";"21";"0";"9400";"63.7";"7";"2.2"
"Neighborhood (UHF 42)";"201";"Greenpoint";"2";"2009";"597";"0";"72";"0";"19";"0";"4900";"121.1";"14.6";"3.9"
"Neighborhood (UHF 42)";"205";"Sunset Park";"2";"2014";"161";"0";"17";"0";"8";"1";"9200";"17.5";"1.9";"0.9"
"Neighborhood (UHF 42)";"501";"Port Richmond";"5";"2007";"337";"0";"33";"0";"17";"0";"3400";"99.5";"9.7";"5"
"Neighborhood (UHF 42)";"406";"Fresh Meadows";"4";"2009";"131";"0";"9";"1";"2";"1";"3800";"34.2";"2.4";"0.5"
"Neighborhood (UHF 42)";"102";"Northeast Bronx";"1";"2012";"130";"0";"23";"0";"12";"0";"6600";"19.7";"3.5";"1.8"
"Neighborhood (UHF 42)";"101";"Kingsbridge - Riverdale";"1";"2005";"198";"0";"22";"0";"4";"1";"2800";"71.9";"8";"1.5"
"Neighborhood (UHF 42)";"302";"Central Harlem - Morningside Heights";"3";"2005";"892";"0";"60";"0";"16";"0";"6100";"146.2";"9.8";"2.6"
"Neighborhood (UHF 42)";"404";"Bayside - Little Neck";"4";"2015";"10";"0";"1";"1";"1";"1";"2200";"4.6";"0.5";"0.5"
"Neighborhood (UHF 42)";"310";"Lower Manhattan";"3";"2016";"5";"0";"1";"1";"1";"1";"1600";"3.1";"0.6";"0.6"
"Neighborhood (UHF 42)";"103";"Fordham - Bronx Pk";"1";"2014";"281";"0";"48";"0";"18";"0";"12700";"22.2";"3.8";"1.4"
"Neighborhood (UHF 42)";"407";"Southwest Queens";"4";"2010";"459";"0";"57";"0";"29";"0";"11700";"39.1";"4.9";"2.5"
"Neighborhood (UHF 42)";"204";"East New York";"2";"2006";"1595";"0";"167";"0";"48";"0";"10400";"153.8";"16.1";"4.6"
"Neighborhood (UHF 42)";"211";"Williamsburg - Bushwick";"2";"2012";"417";"0";"50";"0";"17";"0";"11200";"37.2";"4.5";"1.5"
"Neighborhood (UHF 42)";"406";"Fresh Meadows";"4";"2010";"93";"0";"11";"1";"4";"1";"3900";"24";"2.8";"1"
"Neighborhood (UHF 42)";"403";"Flushing - Clearview";"4";"2014";"119";"0";"17";"0";"4";"1";"8800";"13.5";"1.9";"0.5"
"Neighborhood (UHF 42)";"405";"Ridgewood - Forest Hills";"4";"2016";"126";"0";"21";"0";"8";"1";"9200";"13.7";"2.3";"0.9"
"Neighborhood (UHF 42)";"302";"Central Harlem - Morningside Heights";"3";"2010";"249";"0";"22";"0";"6";"1";"6300";"39.6";"3.5";"1"
"Neighborhood (UHF 42)";"106";"High Bridge - Morrisania";"1";"2005";"1544";"0";"112";"0";"33";"0";"11100";"138.6";"10.1";"3"
"Neighborhood (UHF 42)";"204";"East New York";"2";"2009";"504";"0";"57";"0";"23";"0";"11200";"45";"5.1";"2.1"
"Neighborhood (UHF 42)";"303";"East Harlem";"3";"2012";"63";"0";"7";"1";"3";"1";"4200";"15.1";"1.7";"0.7"
"Neighborhood (UHF 42)";"207";"East Flatbush - Flatbush";"2";"2016";"236";"0";"37";"0";"13";"0";"10700";"22.1";"3.5";"1.2"
"Neighborhood (UHF 42)";"301";"Washington Heights";"3";"2013";"163";"0";"24";"0";"9";"1";"9900";"16.4";"2.4";"0.9"
"Neighborhood (UHF 42)";"409";"Southeast Queens";"4";"2007";"479";"0";"30";"0";"6";"1";"6200";"77.6";"4.9";"1"
"Neighborhood (UHF 42)";"207";"East Flatbush - Flatbush";"2";"2006";"2121";"0";"173";"0";"62";"0";"13900";"153";"12.5";"4.5"
"Neighborhood (UHF 42)";"304";"Upper West Side";"3";"2013";"62";"0";"4";"1";"2";"1";"4900";"12.6";"0.8";"0.4"
"Neighborhood (UHF 42)";"209";"Bensonhurst - Bay Ridge";"2";"2010";"284";"0";"52";"0";"17";"0";"7100";"40.1";"7.3";"2.4"
"Neighborhood (UHF 42)";"208";"Canarsie - Flatlands";"2";"2011";"192";"0";"11";"1";"3";"1";"7900";"24.2";"1.4";"0.4"
"Neighborhood (UHF 42)";"105";"Crotona -Tremont";"1";"2015";"163";"0";"24";"0";"10";"1";"10800";"15.1";"2.2";"0.9"
"Neighborhood (UHF 42)";"307";"Gramercy Park - Murray Hill";"3";"2007";"151";"0";"7";"1";"0";"1";"1900";"79.2";"3.7";"0"
"Neighborhood (UHF 42)";"103";"Fordham - Bronx Pk";"1";"2009";"647";"0";"74";"0";"31";"0";"13900";"46.5";"5.3";"2.2"
"Neighborhood (UHF 42)";"202";"Downtown - Heights - Slope";"2";"2014";"144";"0";"18";"0";"3";"1";"7400";"19.5";"2.4";"0.4"
"Citywide";"1";"New York City";"";"2012";"8179";"0";"1053";"0";"392";"0";"328600";"24.9";"3.2";"1.2"
"Neighborhood (UHF 42)";"303";"East Harlem";"3";"2006";"762";"0";"22";"0";"8";"1";"4900";"154.2";"4.5";"1.6"
"Neighborhood (UHF 42)";"310";"Lower Manhattan";"3";"2010";"40";"0";"3";"1";"2";"1";"1600";"25.2";"1.9";"1.3"
"Neighborhood (UHF 42)";"309";"Union Square - Lower East Side";"3";"2016";"30";"0";"3";"1";"2";"1";"3500";"8.7";"0.9";"0.6"
"Neighborhood (UHF 42)";"404";"Bayside - Little Neck";"4";"2008";"65";"0";"5";"1";"0";"1";"2200";"29.8";"2.3";"0"
"Neighborhood (UHF 42)";"504";"South Beach - Tottenville";"5";"2016";"28";"0";"7";"1";"2";"1";"3700";"7.6";"1.9";"0.5"
"Neighborhood (UHF 42)";"406";"Fresh Meadows";"4";"2016";"29";"0";"1";"1";"1";"1";"3800";"7.7";"0.3";"0.3"
"Neighborhood (UHF 42)";"205";"Sunset Park";"2";"2007";"662";"0";"47";"0";"15";"0";"6700";"98.3";"7";"2.2"
"Neighborhood (UHF 42)";"403";"Flushing - Clearview";"4";"2009";"239";"0";"23";"0";"9";"1";"8200";"29.3";"2.8";"1.1"
"Neighborhood (UHF 42)";"504";"South Beach - Tottenville";"5";"2005";"167";"0";"15";"0";"4";"1";"5000";"33.3";"3";"0.8"
"Neighborhood (UHF 42)";"209";"Bensonhurst - Bay Ridge";"2";"2012";"163";"0";"34";"0";"10";"1";"6900";"23.5";"4.9";"1.4"
"Neighborhood (UHF 42)";"304";"Upper West Side";"3";"2006";"422";"0";"16";"0";"6";"1";"5500";"76.6";"2.9";"1.1"
"Neighborhood (UHF 42)";"306";"Chelsea - Clinton";"3";"2012";"37";"0";"4";"1";"1";"1";"2100";"17.4";"1.9";"0.5"
"Neighborhood (UHF 42)";"309";"Union Square - Lower East Side";"3";"2010";"172";"0";"15";"0";"4";"1";"4900";"34.8";"3";"0.8"
"Neighborhood (UHF 42)";"107";"Hunts Point - Mott Haven";"1";"2008";"484";"0";"30";"0";"15";"0";"8300";"58.5";"3.6";"1.8"
"Neighborhood (UHF 42)";"502";"Stapleton - St. George";"5";"2013";"102";"0";"14";"0";"4";"1";"4800";"21.2";"2.9";"0.8"
"Neighborhood (UHF 42)";"308";"Greenwich Village - SoHo";"3";"2013";"37";"0";"3";"1";"1";"1";"1500";"24.6";"2";"0.7"
"Neighborhood (UHF 42)";"309";"Union Square - Lower East Side";"3";"2012";"82";"0";"11";"1";"5";"1";"4600";"17.9";"2.4";"1.1"
"Neighborhood (UHF 42)";"302";"Central Harlem - Morningside Heights";"3";"2006";"776";"0";"42";"0";"15";"0";"6300";"124";"6.7";"2.4"
"Neighborhood (UHF 42)";"303";"East Harlem";"3";"2008";"271";"0";"21";"0";"5";"1";"4600";"58.9";"4.6";"1.1"
"Neighborhood (UHF 42)";"209";"Bensonhurst - Bay Ridge";"2";"2014";"167";"0";"35";"0";"11";"1";"7300";"22.8";"4.8";"1.5"
"Neighborhood (UHF 42)";"309";"Union Square - Lower East Side";"3";"2014";"59";"0";"8";"1";"2";"1";"3900";"15.1";"2";"0.5"
"Neighborhood (UHF 42)";"403";"Flushing - Clearview";"4";"2013";"111";"0";"15";"0";"3";"1";"8700";"12.8";"1.7";"0.3"
"Neighborhood (UHF 42)";"306";"Chelsea - Clinton";"3";"2015";"13";"0";"2";"1";"2";"1";"1900";"6.7";"1";"1"
"Neighborhood (UHF 42)";"504";"South Beach - Tottenville";"5";"2012";"24";"0";"2";"1";"0";"1";"4100";"5.9";"0.5";"0"
"Neighborhood (UHF 42)";"502";"Stapleton - St. George";"5";"2012";"97";"0";"19";"0";"7";"1";"4800";"20.1";"3.9";"1.5"
"Neighborhood (UHF 42)";"310";"Lower Manhattan";"3";"2006";"66";"0";"5";"1";"1";"1";"800";"80.5";"6.1";"1.2"
"Neighborhood (UHF 42)";"308";"Greenwich Village - SoHo";"3";"2005";"209";"0";"13";"0";"3";"1";"1400";"150.5";"9.4";"2.2"
"Neighborhood (UHF 42)";"104";"Pelham - Throgs Neck";"1";"2009";"457";"0";"34";"0";"11";"1";"12200";"37.4";"2.8";"0.9"
"Neighborhood (UHF 42)";"503";"Willowbrook";"5";"2010";"37";"0";"5";"1";"0";"1";"2600";"14.1";"1.9";"0"
"Neighborhood (UHF 42)";"408";"Jamaica";"4";"2005";"1331";"0";"128";"0";"49";"0";"12300";"108.2";"10.4";"4"
"Neighborhood (UHF 42)";"401";"Long Island City - Astoria";"4";"2006";"681";"0";"70";"0";"36";"0";"7000";"97.8";"10.1";"5.2"
"Neighborhood (UHF 42)";"206";"Borough Park";"2";"2011";"1061";"0";"121";"0";"35";"0";"17000";"62.4";"7.1";"2.1"
"Neighborhood (UHF 42)";"303";"East Harlem";"3";"2013";"60";"0";"10";"1";"7";"1";"3900";"15.2";"2.5";"1.8"
